name,formula,elements,density,color,crystal,pm_ids,gacha_weight
Amaterasuite,Sr4Ti6Si4O23(OH)Cl,"{""Sr"": 4.0, ""Ti"": 6.0, ""Si"": 4.0, ""O"": 24.0, ""H"": 1.0, ""Cl"": 1.0}",1170.456,#FFFFFF,orthorhombic,{},1.0
Amblygonite,LiAl(PO4)F,"{""Li"": 1.0, ""Al"": 1.0, ""P"": 1.0, ""O"": 4.0, ""F"": 1.0}",147.89,#FFFFFF,triclinic,"{34,47}",2562.0
Ameghinite,NaB3O3(OH)4,"{""Na"": 1.0, ""B"": 3.0, ""O"": 7.0, ""H"": 4.0}",171.445,#FFFFFF,monoclinic,{25},210.0
Amesite,Mg2Al(AlSiO5)(OH)4,"{""Mg"": 2.0, ""Al"": 2.0, ""Si"": 1.0, ""O"": 9.0, ""H"": 4.0}",278.682,#FFFFFF,hexagonal,{40},319.0
Amgaite,Tl3+2Te6+O6,"{""Tl"": 2.0, ""Te"": 1.0, ""O"": 6.0}",632.354,#FFFFFF,hexagonal,{33},797.0
Amicite,K2Na2(Al4Si4O16)·5H2O,"{""K"": 2.0, ""Na"": 2.0, ""Al"": 4.0, ""Si"": 4.0, ""O"": 21.0, ""H"": 10.0}",690.503,#FFFFFF,monoclinic,{35},726.0
Aminoffite,Ca3(BeOH)2Si3O10,"{""Ca"": 3.0, ""Be"": 2.0, ""O"": 12.0, ""H"": 2.0, ""Si"": 3.0}",416.5174,#FFFFFF,tetragonal,"{23,31,35}",1480.0
Ammineite,CuCl2·2NH3,"{""Cu"": 1.0, ""Cl"": 2.0, ""N"": 2.0, ""H"": 6.0}",168.508,#FFFFFF,orthorhombic,"{45,52}",496.0
Ammonioalunite,(NH4)Al3(SO4)2(OH)6,"{""N"": 1.0, ""H"": 10.0, ""Al"": 3.0, ""S"": 2.0, ""O"": 14.0}",393.139,#FFFFFF,hexagonal,"{14,49,50,54}",645.0
Ammonioborite,(NH4)3B15O20(OH)8·4H2O,"{""N"": 3.0, ""H"": 28.0, ""B"": 15.0, ""O"": 32.0}",744.363,#FFFFFF,monoclinic,"{25,55,57}",523.0
Ammoniojarosite,(NH4)Fe3+3(SO4)2(OH)6,"{""N"": 1.0, ""H"": 10.0, ""Fe"": 3.0, ""S"": 2.0, ""O"": 14.0}",479.728,#556B2F,hexagonal,"{50,54,55}",771.0
Ammoniolasalite,[(NH4)2Mg2(H2O)20]·[V10O28],"{""N"": 2.0, ""H"": 48.0, ""Mg"": 2.0, ""O"": 48.0, ""V"": 10.0}",1402.38,#FFFFFF,monoclinic,"{47,55}",2262.0
Ammonioleucite,(NH4)(AlSi2O6),"{""N"": 1.0, ""H"": 4.0, ""Al"": 1.0, ""Si"": 2.0, ""O"": 6.0}",197.185,#FFFFFF,tetragonal,"{16,23}",481.0
Ammoniomagnesiovoltaite,(NH4)2Mg5Fe3+3Al(SO4)12·18H2O,"{""N"": 2.0, ""H"": 44.0, ""Mg"": 5.0, ""Fe"": 3.0, ""Al"": 1.0, ""S"": 12.0, ""O"": 66.0}",1829.062,#556B2F,cubic,"{47,55}",2262.0
Ammoniomathesiusite,(NH4)5(UO2)4(SO4)4(VO5)·4H2O,"{""N"": 5.0, ""H"": 28.0, ""U"": 4.0, ""O"": 33.0, ""S"": 4.0, ""V"": 1.0}",1757.528,#FFFFFF,tetragonal,"{47,53}",2115.0
Ammoniotinsleyite,(NH4)Al2(PO4)2(OH)·2H2O,"{""N"": 1.0, ""H"": 9.0, ""Al"": 2.0, ""P"": 2.0, ""O"": 11.0}",314.98,#FFFFFF,monoclinic,{47},1998.0
Ammoniovoltaite,(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18,"{""N"": 2.0, ""H"": 44.0, ""Fe"": 8.0, ""Al"": 1.0, ""S"": 12.0, ""O"": 66.0}",1986.762,#556B2F,cubic,{45},424.0
Ammoniozippeite,(NH4)2[(UO2)2(SO4)O2]·H2O,"{""N"": 2.0, ""H"": 10.0, ""U"": 2.0, ""O"": 11.0, ""S"": 1.0}",722.203,#FFFFFF,orthorhombic,"{47,53}",2115.0
Amoraite,Ca12Al6(OH)36(CO3)2(SO3)·15H2O,"{""Ca"": 12.0, ""Al"": 6.0, ""O"": 60.0, ""H"": 66.0, ""C"": 2.0, ""S"": 1.0}",1725.378,#FFFFFF,triclinic,{},1.0
Amurselite,(NH4)2(UO2)5(SeO3)3O2(OH)2(H2O)·8H2O,"{""N"": 2.0, ""H"": 28.0, ""U"": 5.0, ""O"": 32.0, ""Se"": 3.0}",1995.269,#FFFFFF,triclinic,{},1.0
