name,formula,elements,density,color,crystal
Allanite-(Ce),CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""Ce"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",583.257,#556B2F,monoclinic
Allanite-(La),CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""La"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",582.047,#556B2F,monoclinic
Allanite-(Nd),CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""Nd"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",587.377,#556B2F,monoclinic
Allanite-(Sm),CaSm(Al2Fe2+)(Si2O7)(SiO4)O(OH),"{""Ca"": 1.0, ""Sm"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",593.497,#556B2F,monoclinic
Allanite-(Y),CaY(Al2Fe2+)(Si2O7)(SiO4)O(OH),"{""Ca"": 1.0, ""Y"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",532.043,#556B2F,monoclinic
Allanpringite,Fe3+3(PO4)2(OH)3·5H2O,"{""Fe"": 3.0, ""P"": 2.0, ""O"": 16.0, ""H"": 13.0}",498.571,#556B2F,monoclinic
Allantoin,C4H6N4O3,"{""C"": 4.0, ""H"": 6.0, ""N"": 4.0, ""O"": 3.0}",158.117,#FFFFFF,monoclinic
Allendeite,Sc4Zr3O12,"{""Sc"": 4.0, ""Zr"": 3.0, ""O"": 12.0}",645.484,#FFFFFF,hexagonal
Allochalcoselite,Cu1+Cu2+5PbO2(SeO3)2Cl5,"{""Cu"": 6.0, ""Pb"": 1.0, ""O"": 8.0, ""Se"": 2.0, ""Cl"": 5.0}",1051.66,#FFFFFF,monoclinic
Alloclasite,CoAsS,"{""Co"": 1.0, ""As"": 1.0, ""S"": 1.0}",165.915,#FFD700,monoclinic
Almandine,Fe2+3Al2(SiO4)3,"{""Fe"": 3.0, ""Al"": 2.0, ""Si"": 3.0, ""O"": 12.0}",497.742,#556B2F,cubic
Alpersite,Mg(SO4)·7H2O,"{""Mg"": 1.0, ""S"": 1.0, ""O"": 11.0, ""H"": 14.0}",246.466,#FFFFFF,monoclinic
Alstonite,BaCa(CO3)2,"{""Ba"": 1.0, ""Ca"": 1.0, ""C"": 2.0, ""O"": 6.0}",297.424,#FFFFFF,hexagonal
Altaite,PbTe,"{""Pb"": 1.0, ""Te"": 1.0}",334.8,#FFFFFF,cubic
Althupite,AlTh(UO2)7(PO4)4O2(OH)5·15H2O,"{""Al"": 1.0, ""Th"": 1.0, ""U"": 7.0, ""O"": 52.0, ""P"": 4.0, ""H"": 35.0}",2916.356,#FFFFFF,triclinic
Altisite,Na3K6Ti2Al2Si8O26Cl3,"{""Na"": 3.0, ""K"": 6.0, ""Ti"": 2.0, ""Al"": 2.0, ""Si"": 8.0, ""O"": 26.0, ""Cl"": 3.0}",1200.26,#FFFFFF,monoclinic
Aluminite,Al2(SO4)(OH)4·7H2O,"{""Al"": 2.0, ""S"": 1.0, ""O"": 15.0, ""H"": 18.0}",344.153,#FFFFFF,monoclinic
Aluminium,Al,"{""Al"": 1.0}",26.982,#FFFFFF,cubic
Aluminocoquimbite,Al2Fe2(SO4)6(H2O)12·9H2O,"{""Al"": 2.0, ""Fe"": 2.0, ""S"": 6.0, ""O"": 45.0, ""H"": 42.0}",1120.305,#556B2F,hexagonal
Aluminomagnesiohulsite,Mg2AlO2(BO3),"{""Mg"": 2.0, ""Al"": 1.0, ""O"": 5.0, ""B"": 1.0}",166.397,#FFFFFF,monoclinic
Alumino-oxy-rossmanite,Al3Al6(Si5AlO18)(BO3)3(OH)3O,"{""Al"": 10.0, ""Si"": 5.0, ""O"": 31.0, ""B"": 3.0, ""H"": 3.0}",941.668,#FFFFFF,hexagonal
Aluminopyracmonite,(NH4)3Al(SO4)3,"{""N"": 3.0, ""H"": 12.0, ""Al"": 1.0, ""S"": 3.0, ""O"": 12.0}",369.267,#FFFFFF,hexagonal
Aluminosugilite,KNa2Al2Li3Si12O30,"{""K"": 1.0, ""Na"": 2.0, ""Al"": 2.0, ""Li"": 3.0, ""Si"": 12.0, ""O"": 30.0}",976.852,#FFFFFF,hexagonal
Aluminotaipingite-(CeCa),(Ce6Ca3)Al(SiO4)3[SiO3(OH)]4F3,"{""Ce"": 6.0, ""Ca"": 3.0, ""Al"": 1.0, ""Si"": 7.0, ""O"": 28.0, ""H"": 4.0, ""F"": 3.0}",1693.529,#FFFFFF,hexagonal
Alum-(K),KAl(SO4)2·12H2O,"{""K"": 1.0, ""Al"": 1.0, ""S"": 2.0, ""O"": 20.0, ""H"": 24.0}",474.372,#FFFFFF,cubic
Alum-(Na),NaAl(SO4)2·12H2O,"{""Na"": 1.0, ""Al"": 1.0, ""S"": 2.0, ""O"": 20.0, ""H"": 24.0}",458.264,#FFFFFF,cubic
Alumoedtollite,K2NaCu5AlO2(AsO4)4,"{""K"": 2.0, ""Na"": 1.0, ""Cu"": 5.0, ""Al"": 1.0, ""O"": 18.0, ""As"": 4.0}",1033.568,#FFFFFF,triclinic
Alumohydrocalcite,CaAl2(CO3)2(OH)4·4H2O,"{""Ca"": 1.0, ""Al"": 2.0, ""C"": 2.0, ""O"": 14.0, ""H"": 12.0}",354.146,#FFFFFF,triclinic
Alumoklyuchevskite,K3Cu2+3AlO2(SO4)4,"{""K"": 3.0, ""Cu"": 3.0, ""Al"": 1.0, ""O"": 18.0, ""S"": 4.0}",751.136,#FFFFFF,monoclinic
Alumolukrahnite,CaCu2+Al(AsO4)2(OH)(H2O),"{""Ca"": 1.0, ""Cu"": 1.0, ""Al"": 1.0, ""As"": 2.0, ""O"": 10.0, ""H"": 3.0}",443.464,#FFFFFF,triclinic
Alumotantite,AlTaO4,"{""Al"": 1.0, ""Ta"": 1.0, ""O"": 4.0}",271.928,#FFFFFF,orthorhombic
Alumovesuvianite,Ca19Al(Al10Mg2)Si18O69(OH)9,"{""Ca"": 19.0, ""Al"": 11.0, ""Mg"": 2.0, ""Si"": 18.0, ""O"": 78.0, ""H"": 9.0}",2869.418,#FFFFFF,tetragonal
Alunite,KAl3(SO4)2(OH)6,"{""K"": 1.0, ""Al"": 3.0, ""S"": 2.0, ""O"": 14.0, ""H"": 6.0}",414.198,#FFFFFF,hexagonal
Alunogen,Al2(SO4)3(H2O)12·5H2O,"{""Al"": 2.0, ""S"": 3.0, ""O"": 29.0, ""H"": 34.0}",648.387,#FFFFFF,triclinic
Alvesite,NaKZrSi6O15·2H2O,"{""Na"": 1.0, ""K"": 1.0, ""Zr"": 1.0, ""Si"": 6.0, ""O"": 17.0, ""H"": 4.0}",597.837,#FFFFFF,orthorhombic
Alwilkinsite-(Y),Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O,"{""Y"": 1.0, ""U"": 3.0, ""O"": 32.0, ""S"": 2.0, ""H"": 31.0}",1410.332,#FFFFFF,orthorhombic
Amakinite,Fe(OH)2,"{""Fe"": 1.0, ""O"": 2.0, ""H"": 2.0}",89.859,#8B4513,hexagonal
Amarantite,Fe3+2O(SO4)2·7H2O,"{""Fe"": 2.0, ""O"": 16.0, ""S"": 2.0, ""H"": 14.0}",445.906,#556B2F,triclinic
Amarillite,NaFe3+(SO4)2·6H2O,"{""Na"": 1.0, ""Fe"": 1.0, ""S"": 2.0, ""O"": 14.0, ""H"": 12.0}",379.037,#556B2F,monoclinic
Amaterasuite,Sr4Ti6Si4O23(OH)Cl,"{""Sr"": 4.0, ""Ti"": 6.0, ""Si"": 4.0, ""O"": 24.0, ""H"": 1.0, ""Cl"": 1.0}",1170.456,#FFFFFF,orthorhombic
Amblygonite,LiAl(PO4)F,"{""Li"": 1.0, ""Al"": 1.0, ""P"": 1.0, ""O"": 4.0, ""F"": 1.0}",147.89,#FFFFFF,triclinic
Ameghinite,NaB3O3(OH)4,"{""Na"": 1.0, ""B"": 3.0, ""O"": 7.0, ""H"": 4.0}",171.445,#FFFFFF,monoclinic
